Region,Regions-ID,KV,Kreistyp,Wert,Bundeswert
Hameln-Pyrmont,3252,NI,Verdichtetes Umland,3.13,3.11
Oder-Spree,12067,BB,Ländliches Umland,3.13,3.11
Lahn-Dill-Kreis,6532,HE,Verdichtetes Umland,3.12,3.11
Ahrweiler,7131,RP,Ländliches Umland,3.12,3.11
Donnersbergkreis,7333,RP,Ländliches Umland,3.11,3.11
Rhein-Lahn-Kreis,7141,RP,Verdichtetes Umland,3.1,3.11
Frankenthal,7311,RP,Verdichtetes Umland,3.09,3.11
Goslar,3153,NI,Ländliches Umland,3.08,3.11
Augsburg,9761,BY,Kernstädte,3.07,3.11
Zwickau,14524,SN,Verdichtetes Umland,3.07,3.11
Dithmarschen,1051,SH,Ländlicher Raum,3.06,3.11
Lk.Augsburg,9772,BY,Verdichtetes Umland,3.06,3.11
Garmisch-Partenkirchen,9180,BY,Ländlicher Raum,3.06,3.11
Ostholstein,1055,SH,Ländliches Umland,3.05,3.11
Steinburg,1061,SH,Ländlicher Raum,3.05,3.11
Lk.Kassel,6633,HE,Verdichtetes Umland,3.05,3.11
Altenkirchen,7132,RP,Verdichtetes Umland,3.05,3.11
Saarlouis,10044,SL,Verdichtetes Umland,3.05,3.11
Kaiserslautern,7312,RP,Verdichtetes Umland,3.03,3.11
Bad Kreuznach,7133,RP,Ländliches Umland,3.02,3.11
Osnabrück,3404,NI,Kernstädte,3.01,3.11
Dillingen,9773,BY,Ländliches Umland,3.01,3.11
Würzburg,9663,BY,Kernstädte,3.01,3.11
Emsland,3454,NI,Ländlicher Raum,3.0,3.11
Region Hannover,3241,NI,Verdichtetes Umland,3.0,3.11
Ulm,8421,BW,Kernstädte,3.0,3.11
Chemnitz,14511,SN,Kernstädte,3.0,3.11
Heidenheim,8135,BW,Verdichtetes Umland,2.99,3.11
Dresden,14612,SN,Kernstädte,2.99,3.11
Vulkaneifel,7233,RP,Ländlicher Raum,2.98,3.11
Kelheim,9273,BY,Ländliches Umland,2.98,3.11
Aurich,3452,NI,Ländliches Umland,2.97,3.11
Weimar,16055,TH,Verdichtetes Umland,2.97,3.11
Worms,7319,RP,Verdichtetes Umland,2.95,3.11
Düren,5358,NO,Verdichtetes Umland,2.94,3.11
Städteregion Aachen,5334,NO,Verdichtetes Umland,2.94,3.11
Vechta,3460,NI,Ländliches Umland,2.93,3.11
Germersheim,7334,RP,Verdichtetes Umland,2.93,3.11
